Department,,location,phone1,phon2,description,direction
Admission (Full Time),,1st floor Academic Hall,3430,3902,,"270 Third Ave, Pittsburgh, PA 15222"
Admission Welcome Center,,1st floor Conestoga,3430,,,"7 Wood St,Pittsburgh, PA 15222"
Alumni Relations,,8th floor Frontier Hall,4750,4797,alumni,"100 Wood St, Pittsburgh, PA 15222"
Athletics,,6th floor Student Center,3844,4780,sport ,"330 Blvd of the Allies,Pittsburgh, PA 15222"
bookstore,,1st floor Lawrence Hall,3844,4780,book rent buy,"212 Wood St, Pittsburgh, PA 15222"
Book Store,,1st floor Lawrence Hall,3448,412-642-7649, book rent buy,"212 Wood St, Pittsburgh, PA 15222"
Business Office-Accounts Payable,,5th floor Frontier Hall,3966,3998,,"100 Wood St, Pittsburgh, PA 15222"
Career Development,,5th floor West Penn Building,3950,3936,internship carrer resume ,"West Penn Building,Pittsburgh, PA 15222"
Center for Student Success,,5th floor West Penn Building,8153,,,"West Penn Building,Pittsburgh, PA 15222"
Center for Teaching Excellence,,2nd floor Thayer Hall,3880,4218,,"270 Third Ave, Pittsburgh, PA 15222"
Community Classes  (part of COPA),,709 Lawrence Hall,3456,3803,,"212 Wood St, Pittsburgh, PA 15222"
Computer Help Desk,,220 Thayer Hall,3494,3912,laptop repair computer,"270 Third Ave, Pittsburgh, PA 15222"
Conference and Event Services,,3rd floor101 Wood St,4200,8049,,"101 Wood Street,Pittsburgh, PA 15222"
Conservatory of Performing Arts,,607 Lawrence Hall,3450,6104,,"212 Wood St, Pittsburgh, PA 15222"
Conservatory of Performing Arts (Recruitment),,607 Lawrence Hall,3450,6132,,"212 Wood St, Pittsburgh, PA 15222"
Criminal Justice and Intelligence Studies,,404 Academic Hall,3830,3925,,"270 Third Ave, Pittsburgh, PA 15222"
Culinart Food Service,,2nd floor Lawrence Hall,3829,3848,,"212 Wood St, Pittsburgh, PA 15222"
Development,,9th floor Frontier Hall,8099,4797,,"100 Wood St, Pittsburgh, PA 15222"
Education,,710 Academic Hall,3972,3927,,"270 Third Ave, Pittsburgh, PA 15222"
Enrollment Management,,105 Thayer Hall,8083,6164,ids id identification card,"270 Third Ave, Pittsburgh, PA 15222"
Enrollment Marketing,,1st floor Patterson Building (Annex),4719,6185,,"230 Third Ave,Pittsburgh, PA 15222"
Finance and Administration,,811 Academic Hall,3964,3998,,"270 Third Ave, Pittsburgh, PA 15222"
Financial Aid,,1st floor Thayer Hall,3930,4795,,"270 Third Ave, Pittsburgh, PA 15222"
Food Service,,207 Lawrence Hall,3829,3848,food,"212 Wood St, Pittsburgh, PA 15222"
Graduate Admission,,1st floor Thayer Hall,3808,6164,graduation,"270 Third Ave, Pittsburgh, PA 15222"
Graduate Studies (School of Business),,11th floor West Penn Building,8036,8048,,"West Penn Building,Pittsburgh, PA 15222"
Health Services,,203 Thayer Hall,3800,3801,treatment sick medication hospital nurse,"270 Third Ave, Pittsburgh, PA 15222"
Honors Program,,405 Lawrence Hall,8192,8176,,"212 Wood St, Pittsburgh, PA 15222"
